rank,na,nb,nk,order,n_params,rank_x_train,sigma2_train,val_FIT_1step,val_FIT_12step,val_FIT_sim,val_RMSE_sim,test_FIT_1step,test_FIT_12step,test_FIT_sim,test_RMSE_sim,test_Bias_sim
17,3,2,2,"(3,2,2)",36,34,0.01585172470606101,85.8176584294889,68.25147438510311,67.91059448948596,0.9633827742307622,85.48690205467874,65.44240807638286,65.35543861892886,1.009104446068067,0.031873637473660475
18,1,4,2,"(1,4,2)",66,62,0.0156480927191801,85.88778533905655,68.47512408615502,67.88544742670611,0.9641760799112018,85.57602755425464,66.28237547215981,66.17329224288125,0.9853284556420029,0.03562497690318761
19,5,4,2,"(5,4,2)",70,66,0.014344601454017173,86.53051328808247,67.97723939438775,67.83023031746379,0.9658338646744115,86.0728236905978,64.38091284956502,64.20641762805357,1.04262098143508,0.0073555727475291925
20,4,3,2,"(4,3,2)",53,50,0.01557615796683968,85.93930961710917,68.52824553202173,67.79598922595642,0.9668456308208401,85.60838742217949,66.34075256631904,66.10939992090576,0.9871662816524291,0.0321627700009647
21,4,4,2,"(4,4,2)",69,65,0.015573315689717567,85.934434696094,68.486495819378,67.75813683611449,0.9679983292135285,85.60789204835584,66.32385473076074,66.10605509537555,0.9872869872020128,0.03677039467962762
22,2,4,2,"(2,4,2)",67,63,0.015641361147374393,85.89311417880575,68.12469932049234,67.7540817969441,0.9681200737641417,85.57882543566731,65.79392411388135,65.85811542917848,0.9945091505334396,0.03539097192224966
23,3,3,2,"(3,3,2)",52,49,0.015837841393805493,85.82434024943232,67.86344549253856,67.70012731281285,0.9697236472435552,85.49125176743529,64.96261041563523,65.03861824935325,1.0183560380657453,0.019867753495608664
24,4,2,2,"(4,2,2)",37,35,0.01561293778413795,85.9340180486007,67.84893854060623,67.62133589408083,0.9720891643675472,85.59169744307631,65.35578845584075,65.48672574035932,1.0053035513985078,0.04607538438003355
25,3,4,2,"(3,4,2)",68,64,0.01562797335939723,85.90570915663845,67.59854088964286,67.55880951505566,0.9739827387611651,85.58591209648267,65.07405429567159,65.39539252014464,1.007987673262349,0.03419994800614381
26,2,1,1,"(2,1,1)",19,18,0.015502895711098582,86.0971594784792,68.73415288616815,66.08895641250707,1.0180475015605797,85.77780907110535,66.7059737484241,65.14959332886602,1.0150784222661424,-0.13338249378368877
27,4,1,1,"(4,1,1)",21,20,0.014729976579184408,86.46630549993324,69.80905842089827,64.79103791198301,1.0570618485810896,86.12704856586502,68.07822510646669,64.84664731903838,1.0239477723230914,-0.20882154936730699
28,3,1,1,"(3,1,1)",20,19,0.014962066445350305,86.34716590354014,70.04849512076063,61.3373265858733,1.1607243256867255,86.03278219776438,69.32552993404619,63.942172871837144,1.050269139515309,-0.2194307959042652
29,1,5,3,"(1,5,3)",82,77,0.06000138962644283,72.6133147813008,53.34725938188476,53.363388265535036,1.4001989668677193,71.68221336563563,49.339502450277095,49.445560301287536,1.4726505500157798,0.005135929232956619
30,1,2,1,"(1,2,1)",34,32,0.005573544172572399,91.62177457710735,72.56243901023416,52.361573630433234,1.430158904390137,91.33610955636962,72.59124650795013,56.43105661281667,1.269020896387316,-0.4349784894108959
31,1,1,3,"(1,1,3)",18,17,0.06593849876968448,71.24341474458232,49.97579628253865,50.37957657889882,1.489696066767669,70.52055483197252,45.46218479425631,46.0150140032457,1.5724398641112998,0.011901898615599833
32,1,2,3,"(1,2,3)",34,32,0.06593010232901118,71.23472216819138,49.96769807866558,50.37578568927793,1.4898440795427152,70.51783472260192,45.44929117235792,46.01118415861525,1.572587633756113,0.014647120326813076
33,1,5,1,"(1,5,1)",82,77,0.005560157640954236,91.63086279298295,72.53890148396336,50.18622668880519,1.4955602625058415,91.34018588110854,72.56054880216054,53.431786069777345,1.3564721297542266,-0.536943788279485
34,5,4,1,"(5,4,1)",70,66,0.005555525297809092,91.63452226683594,72.53422610969047,49.830601096964635,1.5062372192616418,91.34525254668257,72.6105546520558,53.49575327502307,1.3546088474032194,-0.5195161854796553
35,5,3,1,"(5,3,1)",54,51,0.005554893414891967,91.63616048516943,72.52867135201467,49.80916997202398,1.5068806465049829,91.34470826969547,72.59655948792789,53.56525968127139,1.3525842152569987,-0.5127854165461541
36,5,5,1,"(5,5,1)",86,81,0.005555208151584293,91.63434571366022,72.54359581665781,49.80847809380607,1.5069014187834195,91.34388545967386,72.59990618939763,53.07062395696804,1.3669923172169245,-0.5410391683133078
37,5,2,1,"(5,2,1)",38,36,0.005554875752597523,91.63703404917656,72.49285432849548,49.765298725850485,1.508197794114617,91.34583029773758,72.58475521769242,53.77748483699507,1.3464023696443823,-0.49961211771634817
38,1,4,1,"(1,4,1)",66,62,0.005560537399208821,91.63009806428121,72.52341550532692,49.65229854291713,1.5115649885102957,91.34159531353546,72.58611318946527,53.32949029188065,1.3594198221296023,-0.5256467793351396
39,1,3,3,"(1,3,3)",50,47,0.06509187991686369,71.40596342874674,48.728954116782774,49.51489086544488,1.5157157960756844,70.67089924356084,44.10212947430947,45.1007182432237,1.599145411893525,0.005487594579254866
40,2,5,1,"(2,5,1)",83,78,0.005555450563386421,91.63383556035365,72.52980388847278,49.45697186566608,1.5174546997714982,91.34450290532357,72.58546760006467,52.6679061517084,1.3787229685107236,-0.5521203287585011
41,3,5,1,"(3,5,1)",84,79,0.005555518089223468,91.6338698265711,72.52998452649004,49.40949187340071,1.5188801928625866,91.34449263277354,72.58800830428791,52.62083827294306,1.3800939952339626,-0.5528892969931621
42,1,3,1,"(1,3,1)",50,47,0.00555986658981498,91.63175185993924,72.51432806971918,49.34798608420735,1.5206663043534145,91.34083802067886,72.57754551595563,53.12697933498667,1.3652871235237705,-0.5242211962612119
